date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:50	28075/28075	---M--	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202015%2013:39:44%20GMT	http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html	(from )
10:39:50	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202015%2013:39:46%20GMT	http://www.prepbootstrap.com/robots.txt		(from )
10:39:52	18074/18074	---M--	200	added ('OK')	text/css	etag:%221bd9f73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/main.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/main.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:55	117305/117305	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202015%2013:39:46%20GMT	http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/bootstrap/css/bootstrap.min.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:55	3569/3569	---M--	200	added ('OK')	text/css	etag:%227b867f73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/flexslider.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/flexslider.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:55	150659/150659	---M--	200	added ('OK')	text/css	etag:%221bd9f73019d01:0%22	http://www.prepbootstrap.com/Content/css/single-page-admin/font-style.css	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/css/single-page-admin/font-style.css	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:56	93064/93064	---M-Z	200	added ('OK')	application/javascript	etag:%22808c92f93019d01:0%22	http://www.prepbootstrap.com/Content/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/js/jquery-1.10.2.min.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:56	58458/58458	---M-Z	200	added ('OK')	application/javascript	etag:%22805f61f83019d01:0%22	http://www.prepbootstrap.com/Content/js/single-page-admin/bootstrap.js	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/js/single-page-admin/bootstrap.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:57	2790/2790	---M--	200	added ('OK')	application/javascript	etag:%224e933af93019d01:0%22	http://www.prepbootstrap.com/Content/js/single-page-admin/lineandbars.js	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/js/single-page-admin/lineandbars.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
10:39:57	1684/1684	---M--	200	added ('OK')	application/javascript	etag:%2211255cf93019d01:0%22	http://www.prepbootstrap.com/Content/js/single-page-admin/dash-charts.js	C:/My%20Web%20Sites/Dash/www.prepbootstrap.com/Content/js/single-page-admin/dash-charts.js	(from http://www.prepbootstrap.com/bootstrap-theme/single-page-admin/preview/index.html)
